Title,Section,Ingredients,Instruction,Variations,Nutrition Information
Pernil a l'agredolç,Carns,,Vegeu AGREDOLÇ DE PERNIL,,{}
Ous remenats amb alls tendres,Ous,"1 manat d'alls tendres.
8 ous.
Oli. 
Sal.","En una paella amb oli salteu els alls tendres tallats a trossos. Salpebreu-los, i quan comencin agafar color daurat , abaixeu el foc i afegiu-hi els ous lleugerament batuts. 
Aneu remenant constantment , fins que els ous estiguin gairebé quallats.",S’hi pot afegir gambes senceres si són petites i partides si són grans (Ous remenats d’alls tendres i gambes).,{}
Sopa de fonolls,"Sopes, escudelles, brous, farientes i cremes","1 col tallada a trossos.
500 g de patates esbocinades.
60 g de fideus.
60 g d’arròs.
Un grapat de fonolls frescos tallats petits.
200 g de cigrons bullits.
Sal.
Aigua.","Bulliu la col i la patata amb aigua i sal.
Quan arrenqui el bull afegiu-hi l’arròs, els fideus i els fonolls.
En el últim moment afegiu-hi els cigrons i deixeu que faci un bull.",,{}
Peix fregit,Peixos i mariscs,"1 kg de llucet, maires, seitó, morralla.
Farina.
Oli.
Sal.","Netegeu, renteu i escorreu el peix. 
Saleu-lo, enfarineu-lo i fregiu-lo en oli molt calent i abundant.
Un cop fregit i cruixent escorreu-lo sobre paper absorbent.",Es pot servir amb grills de llimona.,{}
Fricandó amb moixernons,Carns,"1 kg de vedella tallada a bistecs petits. 50 g de moixernons secs. 2 cebes trinxades. 2 tomàquets trinxats. 1 copa de vi blanc. Un raig de brandi. Farina. Oli. Sal. Aigua.
Per fer la picada: Un grapadet d’ametlles. 2 grans d’all. Julivert.","Deixeu els moixernons en remull un parell d’hores.

	 

	Salpebreu, enfarineu i fregiu la carn en una cassola amb oli, i reserveu-la.

	 

	En el mateix oli feu un sofregit concentrat amb la ceba i el tomàquet.

	 

	Afegiu-hi la carn, flamegeu-la amb el brandi i tot seguit tireu-hi el vi blanc i deixeu-lo reduir.

	 

	Mulleu-ho amb aigua fins que ho cobreixi i deixeu-ho coure a foc suau fins que la carn estigui tendra.

	 

	Escorreu els bolets, passeu-los lleugerament per la paella i afegiu-los a la cassola.

	 

	Quan faltin 10 minuts per acabar, afegiu-hi la picada.","El sofregit es pot fer sense tomàquet.
	S’hi poden afegir olives sense pinyol.
	En lloc d’aigua es pot fer servir brou de carn.
	A la picada s’hi pot afegir una nyora, una mica de xocolata i uns carquinyolis.
	Es pot acompanyar el plat de tota classe de bolets i de verdures.
	En comptes de carn de vedella s’hi pot posar pit de gall dindi, carn magra de porc (fricandó de carn magra de porc) o de corder (fricandó de carn de corder), etc.","{'': {'': ''}, 'Vitamina B12 (µg)': {'': ''}, 'Ferro (mg)': {'': ''}}"
Ànec amb patates i carxofes,Carns,,"Vegeu Ànec amb naps negres

	Es fa com l’ànec amb naps negres, però en comptes dels naps hi poseu carxofes fregides i patates 20 minuts abans d’acabar la cocció.",,"{'Vitamina B12 (µg)': {'': ''}, 'Ferro (mg)': {'': ''}}"
Conill al jaç,Carns,"1 ½ kg de conill trossejat.
1 cabeça d’alls.
1 fulla de llorer.
1 branca de canyella.
1 copa de vi negre.
Oli.
Llard.
Sal.
Pebre.
Aigua.
Per fer la picada:
Un grapadet d’ametlles.
2 grans d’all.
Julivert.
1 galeta maria.","Enrossiu el conill salpebrat amb el llard i l’oli, juntament amb els alls, el llorer i la branca de canyella.
Quan estigui enrossit tireu-hi el vi i deixeu-lo reduir, afegiu-hi una mica d’aigua i deixeu-ho coure lentament amb la cassola tapada.
Quan faltin 10 minuts per acabar la cocció, afegiu-hi la picada.","En lloc de vi negre s’hi pot posar conyac.
S’hi poden afegir unes patates tallades a làmines sota el conill.
S’hi pot afegir un allioli negat al final de la cocció.
Els alls de la picada poden ser fregits o escalivats.","{'Vitamina B12 (µg)': {'': ''}, 'Ferro (mg)': {'': ''}}"
Pollastre escabetxat,Carns,"1 pollastre.
2 cebes.
1 cabeça d’alls.
2 tomàquets.
Llorer.
1 l d’oli.
300 g de vinagre de vi.
Sal.
Pebre.
Aigua.","En una cassola a foc lent poseu-hi l’oli, el vinagre i el llorer una estona perquè s’aromatitzi l’oli. 
Afegiu-hi el pollastre trossejat i salpebrat, la ceba tallada gruixuda, la cabeça d’alls i els tomàquets partits per la meitat. Afegiu-hi aigua si no queda tot cobert.
Deixeu que arrenqui el bull i desprès abaixeu el foc molt lent i deixeu-ho coure amb la cassola tapada fins que el pollastre sigui tou.","S’hi poden afegir herbes aromàtiques.
S’hi pot afegir un pessic de pebre vermell en el moment que s’hi posa el pollastre.
Es poden fregir uns daus de cansalada virada abans de començar la cocció de l’escabetx.","{'Vitamina B12 (µg)': {'': ''}, 'Ferro (mg)': {'': ''}}"
Farinetes amb bolets barrejats,"Sopes, escudelles, brous, farientes i cremes","250 g de bolets
200 g de farina de blat de moro torrada.
Mitja ceba trinxada.
2 grans d’all trinxats.
1 pebrot trinxat.
100 g de cansalada viada tallada a daus petits
Oli.
Sal.
Pebre.
1 l d’aigua.
Per fer la picada:
1 gra d’all.
Un grapadet de pinyons.
Un grapadet d’ametlles.
1 copa de vi ranci.","Desfeu la farina amb aigua, poseu-la al foc perquè bulli i aneu remenant fins que s’espesseixi.
Mantingueu-la al foc 20 minuts, tot remenant de tant en quan, i saleu-la.
Feu un sofregit amb la ceba, l’all i el pebrot.
En una altra paella amb oli enrossiu la cansalada i afegiu-hi els bolets.
Barregeu el sofregit, les farinetes, els bolets i la picada, i salpebreu-ho.",En comptes d’aigua podeu fer servir brou de carn.,"{'Vitamina B12 (µg)': {'': ''}, 'Ferro (mg)': {'': ''}}"
Crema de Sant Josep,Postres i dolços,"1 l de llet

	8 rovells d’ou

	1 branca de canyella

	1 tros de pell de llimona

	200 g de sucre

	40 g de midó","Feu bullir la llet amb la canyella i la pell de llimona.

	En un bol barregeu els rovells d’ou amb el sucre.

	Afegiu-hi la llet colada amb el midó dissolt.

	Poseu la barreja al foc, remeneu sense parar amb el batedor fins que arrenqui el bull i traieu-la tot seguit.

	Aboqueu la crema en plates o en cassoletes individuals i deixeu-la refredar.

	Abans de servir-la, espolseu-hi sucre i passeu per sobre una planxa o pala de ferro ben roent.
Altres noms:

	crema catalana

	crema cremada

	 
Altres noms

	Crema catalana

	Crema cremada","En lloc de midó es pot fer amb farina de blat de moro o amb una altra fècula, que afegireu als rovells barrejats amb el sucre.

	Es pot menjar sense cremar; en aquest cas, s’hi pot posar un paper d’estrassa per sobre de la crema perquè no es faci crosta.

	Es pot menjar acompanyada de galetes o de carquinyolis.","{'Energia (kcal)': {'Per ració': '353', '%QDO': '17,65%'}, 'Proteïnes (g)': {'Per ració': '9,7', '%QDO': '19,40%'}, 'Greix total (g)': {'Per ració': '14,5', '%QDO': '20,71%'}, 'Hidrats de Carboni totals (g)': {'Per ració': '45,5', '%QDO': '16,85%'}, 'Fibra dietètica (g)': {'Per ració': '0,62', '%QDO': '2,07%'}, 'AGS (g)': {'Per ració': '6,2', '%QDO': '31,00%'}, 'AGM (g)': {'Per ració': '5,2', '%QDO': ''}, 'AGP (g)': {'Per ració': '1,7', '%QDO': ''}, 'Colesterol (mg)': {'Per ració': '341', '%QDO': '113,67%'}, 'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
